stockRef,shape,color,clarity,lab,certiNo,treatment,weight,pricePerCts,discPerc,country,measurements,depthPerc,tablePerc,crownAngle,crownHeight,pavalionAngle,pavalionDepth,girdle,girdleThin,girdlePerc,girdleCondition,culetSize,culetCondition,polish,symmetry,fluorescenceIntensity,fluorescenceColor,fancyColor,fancyIntensity,fancyOvertone,pairStockRef,isMatchedPairSeparable,cutGrade,length,width,height,videoLink,certComment,keyToSymbols,certIssueDate,starLength,webLink,laserInscription,shade,Rap Price,lowerHalf,memberComment,blackcrown,blacktable,eyeclean,whitecrown,whitetable,handa,availability,cashDiscPrice,milky,enhancements,city,origin,cashDiscPerc,blackinclusion,identificationMarks,state,forTradeShow,CertiWebLink,LastCustomer,StoneLocation,CostPerCts,NotForWeb,T2A,Ratio,DeptCode,Stock Status
DIN-87-1008C,PSB,D,VVS2,GIA,6472479362,,1.02000,4180.00000,-45.00000,INDIA,8.80x5.59x3.50,62.60,60.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,8.80,5.59,3.50,,"Additional twinning wisps, pinpoints, clouds and surface graining are not shown.","Twinning Wisp, Feather",31/08/2023 12:00:00 AM,0.00,,True,None,7600.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6472479362,,INDIA,6298.00000,False,,1.574,,A
DIN-77-959B,RD,I,IF,GIA,5436905960,,0.35000,750.00000,-50.00000,INDIA,4.57-4.60x2.73,59.50,60.00,32.50,12.50,40.80,43.00,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,NONE,,,,,,,VERY GOOD,4.60,4.57,2.73,,-,Minor Details Of Polish,04/07/2022 12:00:00 AM,50.00,,True,None,1500.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=5436905960,,INDIA,1178.00000,False,,1.007,,A
TSJSA002-001C,RD,I,VVS1,IGI,626403315,,0.90000,1591.00000,-63.00000,INDIA,6.21-6.25x3.72,59.70,61.00,,11.50,,43.50,MED to THK,Medium,0.00,Faceted,POINTED,N,EX,EX,NONE,,,,,,,VERY GOOD,6.25,6.21,3.72,,,,01/04/2024 12:00:00 AM,,,True,MIX,4300.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=626403315,,INDIA,0.00000,False,,1.006,,A
RJ-001B,HT,F,SI1,GIA,2487635411,,1.02000,2021.00000,-49.47500,INDIA,6.04x7.02x4.10,58.30,60.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,EX,NONE,,,,,,,,6.04,7.02,4.10,,"Additional twinning wisps, clouds and surface graining are not shown.","Crystal, Twinning Wisp, Feather",22/02/2024 12:00:00 AM,0.00,,True,None,4000.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2487635411,RISHAB DIAMOND,INDIA,2496.00000,False,,0.860,,M
H-2,EM,J,IF,HRD,240000233187,,8.02000,13000.00000,-48.00000,INDIA,13.04x9.30x6.25,67.20,63.00,0.00,13.00,0.00,49.50,MED,Medium,4.50,Polished,,Linear,EX,EX,nil,,,,,,,,13.04,9.30,6.25,,The stone in accordance with the mentioned number has been identified as a natural gem diamond.,,21/10/2024 12:00:00 AM,0.00,,True,None,25000.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,"https://my.hrdantwerp.com/?id,34&record_number=240000233187",,INDIA,25000.00000,False,,1.402,,M
DIN-67-917,RD,E,SI1,GIA,2416628911,,1.00000,2072.00000,-63.00000,INDIA,6.11-6.15x4.04,65.80,58.00,38.50,17.00,40.40,42.50,Slightly Thick,,6.50,Faceted,None,None,EX,Very Good,NONE,,,,,,,GD,6.15,6.11,4.04,,"Pinpoints, internal graining and surface graining are not shown.","Feather, Crystal, Indented Natural, Needle, Natural",17/12/2021 12:00:00 AM,50.00,,True,Brown,5600.00000,75.00,,,,No,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2416628911,,INDIA,2646.00000,False,,1.007,,A
DIN-77-964A,PC,E,VVS1,GIA,6431896324,,0.47000,1248.00000,-48.00000,INDIA,4.44x4.30x3.04,70.60,74.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,EX,Very Good,NONE,,,,,,,,4.44,4.30,3.04,,"Pinpoint, Indented Natural, Feather","Pinpoint, Indented Natural, Feather",01/07/2022 12:00:00 AM,0.00,,True,None,2400.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6431896324,,INDIA,1682.10638,False,,1.033,,A
DIN-94-1028D,RD,G,IF,GIA,2486294380,,0.55000,1760.00000,-45.00000,INDIA,5.25-5.29x3.27,62.10,57.00,33.50,14.00,41.60,44.50,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,NONE,,,,,,,EX,5.29,5.25,3.27,,Minor Details Of Polish,Minor Details Of Polish,05/01/2024 12:00:00 AM,50.00,,True,None,3200.00000,80.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2486294380,,INDIA,2162.20000,False,,1.008,,A
WG-1-1B,RD,J,IF,GIA,7452879087,,1.30000,2795.00000,-35.00000,INDIA,6.99-7.03x4.31,61.50,60.00,32.50,12.50,41.80,44.50,Slightly Thick,,4.50,Faceted,None,None,EX,EX,FAINT,,,,,,,EX,7.03,6.99,4.31,,Minor details of polish are not shown.,Natural,22/02/2023 12:00:00 AM,50.00,,True,None,4300.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7452879087,,INDIA,3380.00000,False,,1.006,,A
HTJSA05-3A,RD,K,VVS1,IGI,626409671,,3.01000,5400.00000,-60.00000,INDIA,9.12-9.19x5.81,63.40,57.00,,14.50,,44.50,MED to THK,Medium,0.00,Faceted,POINTED,N,EX,EX,VERY SLIGHT,,,,,,,EX,9.19,9.12,5.81,,,,15/04/2024 12:00:00 AM,,,True,MIX,13500.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.igi.org/verify.php?r=626409671,,INDIA,6750.00000,False,,1.008,,M
