stockRef,shape,color,clarity,lab,certiNo,treatment,weight,pricePerCts,discPerc,country,measurements,depthPerc,tablePerc,crownAngle,crownHeight,pavalionAngle,pavalionDepth,girdle,girdleThin,girdlePerc,girdleCondition,culetSize,culetCondition,polish,symmetry,fluorescenceIntensity,fluorescenceColor,fancyColor,fancyIntensity,fancyOvertone,pairStockRef,isMatchedPairSeparable,cutGrade,length,width,height,videoLink,certComment,keyToSymbols,certIssueDate,starLength,webLink,laserInscription,shade,Rap Price,lowerHalf,memberComment,blackcrown,blacktable,eyeclean,whitecrown,whitetable,handa,availability,cashDiscPrice,milky,enhancements,city,origin,cashDiscPerc,blackinclusion,identificationMarks,state,forTradeShow,CertiWebLink,LastCustomer,StoneLocation,CostPerCts,NotForWeb,T2A,Ratio,DeptCode,Stock Status
HTJSA4-4-17A,OVB,J,IF,GIA,7493062959,,1.06000,1880.00000,-53.00000,INDIA,8.49x5.62x3.49,62.10,58.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,EX,Medium,Blue,,,,,,-,8.49,5.62,3.49,,Minor details of polish are not shown.,,15/04/2024 12:00:00 AM,0.00,,True,None,4000.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7493062959,,INDIA,0.00000,False,,1.511,,A
DIN-112-41C,PSB,D,IF,GIA,6492957450,,0.80000,2256.00000,-52.00000,INDIA,8.78x5.35x2.92,54.70,61.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,Very Good,Medium,Blue,,,,,,-,8.78,5.35,2.92,,Minor Details Of Polish,Minor Details Of Polish,19/07/2024 12:00:00 AM,0.00,,True,None,4700.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6492957450,R2NET_SEGOMA,INDIA,2448.00000,False,,1.641,,M
DIN-100-1052B,PSB,D,VVS2,GIA,5496913900,,0.50000,1540.00000,-45.00000,INDIA,6.89x4.30x2.67,62.00,59.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,-,6.89,4.30,2.67,,Feather,Feather,16/07/2024 12:00:00 AM,0.00,,True,None,2800.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=5496913900,R2NET_SEGOMA,INDIA,1440.00000,False,,1.602,,M
DIN-67-907A,RD,E,VVS2,GIA,2416442420,,0.70000,2100.00000,-50.00000,INDIA,5.70-5.73x3.52,61.60,57.00,33.50,14.00,41.20,43.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,FAINT,,,,,,,EX,5.73,5.70,3.52,,"Pinpoint,Cloud","Pinpoint, Cloud",01/12/2021 12:00:00 AM,50.00,,True,None,4200.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2416442420,,INDIA,2544.00000,False,,1.005,,A
ADI-12-80A,RD,F,VVS2,GIA,6495766583,,1.20000,5040.00000,-40.00000,INDIA,6.80-6.85x4.17,61.10,61.00,32.50,12.50,41.60,44.50,MED to THK,Medium,4.50,Faceted,None,None,EX,EX,NONE,,,,,,,EX,6.85,6.80,4.17,,Additional pinpoints are not shown. Surface graining is not shown.,Pinpoint,03/07/2024 12:00:00 AM,50.00,,True,None,8400.00000,75.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6495766583,Nicaa,INDIA,2667.95000,False,,1.007,,M
ADI-8-38,HT,I,VVS2,IGI,632412858,,2.13000,4356.00000,-56.00000,INDIA,7.85x8.78x5.44,62.00,58.00,36.90,15.00,41.00,44.50,MED to VTK,Medium,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,VERY GOOD,7.85,8.78,5.44,,,,22/05/2024 12:00:00 AM,,,True,None,9900.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=632412858,,INDIA,1378.57277,False,,0.894,,A
ADI-9-46,RD,L,VS1,IGI,632412860,,2.04000,2562.00000,-58.00000,INDIA,8.04-8.08x5.06,62.80,56.00,36.50,16.50,40.50,42.50,MED to THK,Medium,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,EX,8.08,8.04,5.06,,,,23/05/2024 12:00:00 AM,,,True,None,6100.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=632412860,,INDIA,1297.61765,False,,1.005,,A
RFJSA02A,RD,H,VVS1,IGI,623458031,,1.02000,2262.00000,-61.00000,INDIA,6.21-6.26x4.01,64.30,58.00,,16.50,,42.50,Slightly Thick to Thick,,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,VERY GOOD,6.26,6.21,4.01,,,,26/03/2024 12:00:00 AM,,,True,None,5800.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=623458031,,INDIA,2380.00000,False,,1.008,,A
HTJSA4-4-13A,RD,I,SI2,IGI,626406656,,1.03000,986.00000,-71.00000,INDIA,6.24-6.31x4.03,64.10,59.00,,15.50,,43.00,MED to VTK,Medium,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,VERY GOOD,6.31,6.24,4.03,,,,08/04/2024 12:00:00 AM,,,True,GREEN,3400.00000,0.00,,,,No,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=626406656,,INDIA,1900.00000,False,,1.011,,A
HTJSA4-3-3A,RD,J,SI1,GIA,7486982086,,1.10000,1600.00000,-50.00000,INDIA,6.53-6.57x4.09,62.50,58.00,36.00,15.50,40.80,43.00,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,FAINT,,,,,,,EX,6.57,6.53,4.09,,Clouds are not shown. Pinpoints are not shown.,"Crystal, Needle",03/04/2024 12:00:00 AM,50.00,,True,None,3200.00000,80.00,,,,No,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7486982086,,INDIA,0.00000,False,,1.006,,A
VISA247G,RD,F,VS1,,,,0.18000,907.20000,-28.00000,INDIA,0-0*0,,,,,,,,,,,,,EX,EX,,None,,,,,,EX,,,,,,,,,,False,None,1260.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,,SATISH N. PARIKH,INDIA,1261.11111,False,,0.000,,M
ADI-12-70A,PSB,G,VS2,GIA,1493618205,,1.00000,2832.00000,-41.00000,INDIA,9.04x5.36x3.46,64.60,61.00,0.00,0.00,0.00,0.00,ETK,,0.00,Faceted,None,None,Very Good,Very Good,NONE,,,,,,,,9.04,5.36,3.46,,Additional clouds are not shown. Pinpoints are not shown.,"Cloud, Indented Natural, Natural",13/06/2024 12:00:00 AM,0.00,,True,None,4800.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1493618205,,INDIA,2400.17000,False,,1.687,,A
ADI-8-39,EM,I,VS2,IGI,632412865,,1.01000,1369.00000,-63.00000,INDIA,7.10x4.91x3.03,61.70,64.00,31.60,12.00,40.00,46.50,MED,Medium,0.00,,LONG,,EX,EX,NONE,,,,,,,VERY GOOD,7.10,4.91,3.03,,,,23/05/2024 12:00:00 AM,,,True,None,3700.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=632412865,,INDIA,1289.09901,False,,1.446,,A
JSA04-6,OVB,M,SI1,GIA,1499543352,,2.50000,2170.00000,-38.00000,INDIA,10.71x7.53x4.59,61.00,59.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,Very Good,FAINT,,,,,,,,10.71,7.53,4.59,,Clouds are not shown. Pinpoints are not shown.,"Feather, Crystal, Needle, Cavity, Natural",05/06/2024 12:00:00 AM,0.00,,True,None,3500.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1499543352,,INDIA,0.00000,False,,1.422,,A
RFJSA2-1A,RD,J,VVS2,IGI,623458030,,1.50000,2257.00000,-63.00000,INDIA,7.06-7.14x4.57,64.20,58.00,,16.50,,42.50,MED to VTK,Medium,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,VERY GOOD,7.14,7.06,4.57,,,,26/03/2024 12:00:00 AM,,,True,None,6100.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=623458030,,INDIA,2046.00000,False,,1.011,,A
HTJSA10A,RD,J,SI1,IGI,626409675,,1.50000,1500.00000,-70.00000,INDIA,7.16-7.23x4.61,64.10,59.00,,15.00,,44.50,Slightly Thick,,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,VERY GOOD,7.23,7.16,4.61,,,,17/04/2024 12:00:00 AM,,,True,None,5000.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=626409675,,INDIA,0.00000,False,,1.010,,A
HTJSA4-4-25A,RD,I,VS2,IGI,626407941,,1.50000,2205.00000,-65.00000,INDIA,7.06-7.14x4.55,64.00,57.00,,17.00,,42.00,Slightly Thick to Thick,,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,VERY GOOD,7.14,7.06,4.55,,,,12/04/2024 12:00:00 AM,,,True,None,6300.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=626407941,,INDIA,0.00000,False,,1.011,,A
ADI-15-88A,RD,D,SI1,GIA,3505262635,,0.60000,1440.00000,-40.00000,INDIA,5.36-5.41x3.35,62.20,60.00,33.50,13.50,41.80,44.50,MED to THK,Medium,4.50,Faceted,None,None,EX,EX,NONE,,,,,,,EX,5.41,5.36,3.35,,"Crystal, Cloud","Crystal, Cloud",26/08/2024 12:00:00 AM,50.00,,True,None,2400.00000,80.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=3505262635,,INDIA,3810.80000,False,,1.009,,A
ADI-16-93B,EM,L,VVS2,GIA,2506269834,,0.60000,767.00000,-41.00000,INDIA,5.78x3.97x2.67,67.30,68.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Polished,None,None,Very Good,Very Good,NONE,,,,,,,,5.78,3.97,2.67,,"Pinpoint, Cloud","Pinpoint, Cloud",26/08/2024 12:00:00 AM,0.00,,True,None,1300.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2506269834,,INDIA,3918.01667,False,,1.456,,A
ADI-5-12,RD,K,VS1,IGI,642437778,,1.52000,1551.00000,-67.00000,INDIA,7.41-7.45x4.47,60.20,59.00,33.80,13.50,40.60,42.50,MED to THK,Medium,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,EX,7.45,7.41,4.47,,IDEAL CUT ROUND BRILLIANT,,30/07/2024 12:00:00 AM,,,True,None,4700.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=642437778,,INDIA,1319.06579,False,,1.005,,A
ADI-10-52A,EM,I,VS1,IGI,632412863,,1.26000,1760.00000,-54.87179,INDIA,7.45x5.29x3.44,65.00,63.00,32.20,12.50,40.80,50.50,MED,Medium,0.00,,LONG,,EX,EX,NONE,,,,,,,EX,7.45,5.29,3.44,,,,23/05/2024 12:00:00 AM,,,True,None,3900.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=632412863,,INDIA,1494.34127,False,,1.408,,A
ADI-18-95A,PSB,D,SI1,GIA,1509337926,,1.50000,4455.00000,-45.00000,INDIA,10.49x6.24x3.73,59.70,55.00,0.00,0.00,0.00,0.00,ETK,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,10.49,6.24,3.73,,Additional pinpoints are not shown.,"Feather, Crystal, Needle, Pinpoint",03/09/2024 12:00:00 AM,0.00,,True,None,8100.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1509337926,,INDIA,11597.80667,False,,1.681,,A
SSP-2A,MQ,D,VVS1,GIA,6501405278,,0.41000,1430.00000,-45.00000,INDIA,8.17x3.90x2.30,58.80,61.00,0.00,0.00,0.00,0.00,Thin to Very Thick,Thin,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,8.17,3.90,2.30,,Cavity,Cavity,12/09/2024 12:00:00 AM,0.00,,True,None,2600.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6501405278,R2NET_SEGOMA,INDIA,2891.60976,False,,2.095,,M
DIN-114-46,EM,K,VVS1,IGI,635478105,,5.03000,6845.00000,-63.00000,INDIA,12.03x8.11x5.41,66.70,67.00,31.80,11.00,44.90,53.00,MED,Medium,0.00,,LONG,,EX,EX,NONE,,,,,,,VERY GOOD,12.03,8.11,5.41,,,,19/06/2024 12:00:00 AM,,,True,None,18500.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.igi.org/verify.php?r=635478105,,INDIA,18500.00000,False,,1.483,,M
DIN-114-46A,EM,K,VS2,IGI,635478102,,5.08000,5735.00000,-63.00000,INDIA,11.67x8.31x5.45,65.60,66.00,32.50,13.50,41.10,49.50,MED,Medium,0.00,,LONG,,EX,EX,NONE,,,,,,,VERY GOOD,11.67,8.31,5.45,,,,19/06/2024 12:00:00 AM,,,True,None,15500.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.igi.org/verify.php?r=635478102,,INDIA,15500.00000,False,,1.404,,M
VISA219B,EM,H,VS1,GIA,7486592025,,3.01000,11115.00000,-43.00000,INDIA,10.03x7.26x4.60,63.30,69.00,0.00,0.00,0.00,0.00,MED,Medium,0.00,Polished,None,None,EX,EX,NONE,,,,,,,-,10.03,7.26,4.60,,Additional clouds are not shown. Additional pinpoints are not shown.,"Cloud, Feather, Needle, Pinpoint",20/02/2024 12:00:00 AM,0.00,,True,None,19500.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7486592025,,INDIA,0.00000,False,,1.382,,M
KFHTHTA-5,RD,E,VS2,GIA,7486587676,,1.50000,4400.00000,-60.00000,INDIA,6.93-6.99x4.61,66.20,58.00,40.00,18.00,39.80,41.50,Very Thick,,7.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,GD,6.99,6.93,4.61,,Clouds are not shown. Pinpoints are not shown.,"Crystal, Feather, Needle",16/02/2024 12:00:00 AM,55.00,,True,None,11000.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7486587676,,INDIA,0.00000,False,,1.009,,A
RFJSA02-3B,PSB,E,SI1,GIA,2486879907,,0.32000,705.00000,-53.00000,INDIA,6.42x3.85x2.24,58.00,62.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,Very Good,FAINT,,,,,,,,6.42,3.85,2.24,,,"Crystal, Feather",21/03/2024 12:00:00 AM,0.00,,True,None,1500.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2486879907,,INDIA,0.00000,False,,1.668,,A
DIN-116-60,RD,K,VS2,GIA,6505436203,,1.70000,2596.00000,-41.00000,INDIA,7.57-7.62x4.76,62.70,60.00,34.00,13.50,41.80,44.50,Slightly Thick,,4.50,Faceted,None,None,EX,EX,NONE,,,,,,,EX,7.62,7.57,4.76,,Additional clouds are not shown. Pinpoints are not shown.,"Cloud, Feather, Natural",18/09/2024 12:00:00 AM,50.00,,True,None,4400.00000,80.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6505436203,,INDIA,0.00000,False,,1.007,,A
DIN-116-55C,RAD,D,SI1,GIA,2506816440,,0.50000,1144.00000,-48.00000,INDIA,5.44x4.02x2.75,68.50,63.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,EX,EX,NONE,,,,,,,,5.44,4.02,2.75,,,"Crystal, Feather",08/11/2024 12:00:00 AM,0.00,,True,None,2200.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2506816440,,INDIA,0.00000,False,,1.353,,A
ADI-23-111,EM,K,VVS1,HRD,250000015785,,7.02000,9250.00000,-50.00000,INDIA,12.42x8.93x6.07,68.00,66.00,0.00,13.00,0.00,50.50,MED,Medium,4.50,Polished,,Linear,EX,EX,nil,,,,,,,,12.42,8.93,6.07,,The stone in accordance with the mentioned number has been identified as a natural gem diamond.,,27/01/2025 12:00:00 AM,0.00,,True,None,18500.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,"https://my.hrdantwerp.com/?id,34&record_number=250000015785",,INDIA,10973.19943,False,,1.391,,A
ADI-23-113B,PSB,K,IF,GIA,1509558974,,1.50000,2156.00000,-56.00000,INDIA,10.84x6.42x3.61,56.20,58.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,EX,NONE,,,,,,,,10.84,6.42,3.61,,Minor details of polish are not shown.,,09/10/2024 12:00:00 AM,0.00,,True,Faint Brown,4900.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1509558974,,INDIA,1081.78000,False,,1.688,,A
ADI-22-109,RD,I,VS2,IGI,670474289,,2.40000,4092.00000,-56.00000,INDIA,8.45-8.53x5.31,62.50,58.00,36.20,15.50,40.60,43.00,MED to THK,Medium,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,EX,8.53,8.45,5.31,,IDEAL CUT ROUND BRILLIANT,,03/01/2025 12:00:00 AM,,,True,None,9300.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=670474289,,INDIA,2080.76667,False,,1.009,,A
ADI-23-113,RD,L,VVS2,GIA,5506601974,,1.50000,2021.00000,-53.00000,INDIA,7.31-7.35x4.49,61.20,59.00,35.00,14.50,40.80,43.00,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,NONE,,,,,,,EX,7.35,7.31,4.49,,Internal graining is not shown.,Feather,15/10/2024 12:00:00 AM,50.00,,True,Faint Brown,4300.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=5506601974,,INDIA,1744.55333,False,,1.005,,A
ADI-23-112-1A,RD,H,VVS1,GIA,1508595482,,0.30000,752.00000,-53.00000,INDIA,4.36-4.38x2.64,60.40,59.00,32.50,13.00,41.60,44.00,MED,Medium,3.00,Faceted,None,None,EX,EX,Medium,Blue,,,,,,EX,4.38,4.36,2.64,,,"Pinpoint, Cloud",09/10/2024 12:00:00 AM,50.00,,True,None,1600.00000,80.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1508595482,,INDIA,2140.36667,False,,1.005,,A
ADI-24-117,PS,J,VVS2,IGI,654481094,,5.15000,8385.00000,-61.00000,INDIA,15.23x9.49x5.91,62.30,60.00,37.90,15.50,36.90,41.50,Slightly Thick to Thick,,0.00,Faceted,POINTED,,EX,EX,VERY SLIGHT,,,,,,,VERY GOOD,15.23,9.49,5.91,,,,18/10/2024 12:00:00 AM,,,True,None,21500.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=654481094,,INDIA,3393.25049,False,,1.605,,A
DIN-116-63,RAD,F Y,VS2,GIA,6502389873,,2.06000,4700.00000,0.00000,INDIA,7.61x6.28x4.37,69.60,64.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Polished,None,None,EX,Very Good,NONE,,Yellow,Fancy,,,,,7.61,6.28,4.37,,Additional clouds are not shown. Pinpoints are not shown.,"Crystal, Cloud, Feather, Needle, Natural",27/09/2024 12:00:00 AM,0.00,,True,None,0.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6502389873,,INDIA,0.00000,False,,1.212,,A
ADI-23-112-1,RD,L,VS2,GIA,6501591988,,1.55000,1976.00000,-48.00000,INDIA,7.34-7.37x4.59,62.40,58.00,36.00,15.00,40.80,43.00,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,Medium,Blue,,,,,,EX,7.37,7.34,4.59,,"Clouds, pinpoints and internal graining are not shown.","Crystal, Needle",11/10/2024 12:00:00 AM,50.00,,True,None,3800.00000,80.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6501591988,,INDIA,1795.26452,False,,1.004,,A
ADI-16-92E,HTB,D,VS1,GIA,1503728280,,0.50000,1352.00000,-48.00000,INDIA,4.57x5.61x3.35,59.80,58.00,0.00,0.00,0.00,0.00,ETK,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,4.57,5.61,3.35,,,Feather,24/10/2024 12:00:00 AM,0.00,,True,None,2600.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1503728280,RISHAB DIAMOND,INDIA,5847.68000,False,,0.815,,M
JSA56-18B,RD,QR,VS2,GIA,7496923552,,1.00000,1400.00000,-33.33333,INDIA,6.52-6.54x3.86,59.10,59.00,33.00,13.50,40.40,42.50,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,FAINT,,,,,,,VERY GOOD,6.54,6.52,3.86,,,Feather,15/07/2024 12:00:00 AM,50.00,,True,None,2100.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7496923552,,INDIA,1000.80000,False,,1.003,,A
JSA46B,RAD,I,SI1,GIA,6492785693,,1.01000,1568.00000,-51.00000,INDIA,6.60x5.07x3.50,69.20,68.00,0.00,0.00,0.00,0.00,Slightly Thick to Thick,,0.00,Polished,None,None,EX,EX,FAINT,,,,,,,,6.60,5.07,3.50,,,"Feather, Cloud, Needle, Pinpoint",02/07/2024 12:00:00 AM,0.00,,True,None,3200.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6492785693,,INDIA,1650.00000,False,,1.302,,A
HTJSA5-2A,RD,G,IF,GIA,7493362166,,1.50000,6392.00000,-53.00000,INDIA,7.30-7.34x4.52,61.70,59.00,35.00,14.50,41.00,43.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,FAINT,,,,,,,EX,7.34,7.30,4.52,,Minor details of polish are not shown.,,21/05/2024 12:00:00 AM,50.00,,True,None,13600.00000,75.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7493362166,R2NET_SEGOMA,INDIA,6800.00000,False,,1.005,,M
JSA55B,EM,J,VS2,GIA,5493845044,,2.01000,3848.00000,-48.00000,INDIA,9.13x6.01x3.70,61.50,64.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,EX,Very Good,FAINT,,,,,,,,9.13,6.01,3.70,,"A cloud, pinpoints and surface graining are not shown.","Feather, Crystal, Needle",08/07/2024 12:00:00 AM,0.00,,True,None,7400.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=5493845044,,INDIA,3848.00000,False,,1.519,,A
JSA56-1A,RD,OP,VVS2,GIA,1493942891,,2.07000,2400.00000,-57.89474,INDIA,8.01-8.06x5.10,63.50,58.00,36.50,15.50,41.20,43.50,Slightly Thick to Thick,,4.50,Faceted,None,None,EX,EX,FAINT,,,,,,,VERY GOOD,8.06,8.01,5.10,,"Additional clouds, additional pinpoints and surface graining are not shown.","Cloud, Needle, Pinpoint",19/07/2024 12:00:00 AM,50.00,,True,None,5700.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1493942891,,INDIA,1938.00000,False,,1.006,,A
JSA56-14A,RD,OP,VVS1,GIA,2497967709,,2.20000,2450.00000,-61.11111,INDIA,8.28-8.33x5.15,62.00,56.00,34.50,15.00,40.80,43.00,Slightly Thick,,4.00,Faceted,None,None,EX,EX,NONE,,,,,,,EX,8.33,8.28,5.15,,,"Feather, Natural",19/07/2024 12:00:00 AM,50.00,,True,None,6300.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2497967709,,INDIA,2205.00000,False,,1.006,,A
JSA56-7A,RD,QR,VS1,GIA,2497967696,,2.69000,3000.00000,-44.44444,INDIA,8.74-8.80x5.56,63.40,56.00,36.50,16.00,40.60,42.50,Slightly Thick to Thick,,4.50,Faceted,None,None,EX,EX,NONE,,,,,,,VERY GOOD,8.80,8.74,5.56,,Additional pinpoints are not shown. Clouds are not shown.,"Needle, Feather, Pinpoint",19/07/2024 12:00:00 AM,45.00,,True,Brown,5400.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2497967696,,INDIA,1836.00000,False,,1.007,,A
ADI-12-82A,RD,I,VVS2,GIA,2506167120,,1.05000,2530.00000,-45.00000,INDIA,6.53-6.55x3.97,60.80,59.00,34.50,14.50,40.60,42.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,NONE,,,,,,,EX,6.55,6.53,3.97,,"Additional pinpoints, clouds and internal graining are not shown.",Pinpoint,12/08/2024 12:00:00 AM,50.00,,True,MIX,4600.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2506167120,,INDIA,1945.65714,False,,1.003,,A
JSA56-17A,CMB,ST,VS2,GIA,2498968803,,3.09000,3200.00000,-40.74074,INDIA,8.97x7.85x5.54,70.60,60.00,0.00,0.00,0.00,0.00,Slightly Thick to Thick,,0.00,Faceted,None,None,EX,EX,NONE,,,,,,,,8.97,7.85,5.54,,Additional clouds are not shown. Pinpoints are not shown.,"Crystal, Cloud",07/08/2024 12:00:00 AM,0.00,,True,None,5400.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2498968803,,INDIA,0.00000,False,,1.143,,A
HTSAR116B,EM,G,VVS1,GIA,7488220123,,0.70000,1365.00000,-61.00000,INDIA,6.92x3.96x2.62,66.30,66.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,EX,Very Good,FAINT,,,,,,,,6.92,3.96,2.62,,,Pinpoint,25/12/2023 12:00:00 AM,0.00,,True,None,3500.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7488220123,,INDIA,0.00000,False,,1.747,,A
HTSAR110B,CMB,K,VVS2,IGI,613363338,,1.01000,1110.00000,-63.00000,INDIA,6.14x5.56x3.75,67.40,65.00,,12.00,,52.50,MED to VTK,Medium,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,VERY GOOD,6.14,5.56,3.75,,,,02/01/2024 12:00:00 AM,,,True,None,3000.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=613363338,,INDIA,0.00000,False,,1.104,,A
IMJSA01-1C,PSB,D,SI1,GIA,2484584727,,0.53000,1056.00000,-52.00000,INDIA,7.45x4.52x2.68,59.20,59.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,EX,NONE,,,,,,,,7.45,4.52,2.68,,,Cloud,16/02/2024 12:00:00 AM,0.00,,True,None,2200.00000,0.00,,,,Yes,,,,M,,Yes,,,,,,,,,https://www.gia.edu/report-check?reportno=2484584727,NIVODA LLP,INDIA,0.00000,False,,1.648,,M
HTJSA4-4-2A,CU,K,SI1,IGI,626406669,,1.52000,1443.00000,-63.00000,INDIA,6.65x6.42x4.32,67.30,63.00,,14.00,,49.50,MED to VTK,Medium,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,VERY GOOD,6.65,6.42,4.32,,,,08/04/2024 12:00:00 AM,,,True,None,3900.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=626406669,,INDIA,0.00000,False,,1.036,,A
